#{"t_start": 1640864053.790724, "env_id": "Hopper-v3"}
r,l,t
298.76927,120,324.15141
412.310819,210,326.147515
280.546743,141,327.488556
308.443839,137,328.796067
257.140085,121,329.961084
258.6297,114,331.05877
292.238566,137,332.367877
288.532461,136,333.663497
280.684779,140,334.998456
296.887088,143,336.363517
246.683878,130,337.599962
272.505173,134,338.876644
311.820805,150,340.323791
296.920328,144,341.690749
296.459764,150,343.12377
321.901054,159,344.648122
309.947676,168,346.243278
290.6026,141,347.584418
293.384115,148,348.99715
290.886595,159,350.546511
283.02466,152,352.001008
301.936542,151,353.434931
291.57549,157,354.932865
297.874911,142,356.286256
325.110556,150,357.711456
186.349076,121,358.856519
212.620022,131,360.119324
312.231057,145,361.509115
289.264927,143,362.862718
324.080143,157,364.377498
300.900881,138,365.695285
298.929105,180,367.411366
313.353955,140,368.752086
290.271931,163,370.30721
299.774709,131,371.564866
288.000034,161,373.100892
295.904541,165,374.671513
312.872755,182,376.405548
304.773082,167,377.998408
292.724926,159,379.514208
304.018593,129,380.761882
320.645264,149,382.194695
314.763433,138,383.514689
28.684796,38,383.877256
495.137564,308,386.803933
27.927863,40,387.185295
394.280476,221,389.299756
450.161673,259,391.792476
314.779265,152,393.242043
467.535694,289,396.670932
23.503233,33,396.986425
404.831078,219,399.072877
401.859844,215,401.157971
392.369546,213,403.235847
327.382584,148,404.68238
324.218916,149,406.131673
306.824263,148,407.561395
339.691899,155,409.065799
322.644019,145,410.46506
327.629838,153,411.933974
312.685232,150,413.359138
313.802249,159,414.869917
292.736295,141,416.21205
272.310188,135,417.49064
311.305626,159,418.997832
290.254898,112,420.070302
301.291109,117,421.209671
334.154088,124,422.412394
317.135058,146,423.797378
324.102667,123,424.973682
287.951851,112,426.039088
332.267313,123,427.235854
341.929533,125,428.455547
311.679979,121,429.624933
311.089095,121,430.790001
297.592281,115,431.886412
323.783787,121,433.05657
312.628254,119,434.185386
302.5061,116,435.28483
297.533409,115,436.379437
330.375961,124,437.561403
337.399721,125,438.751086
307.726122,118,439.88612
320.047111,121,441.061944
343.839948,128,442.281648
344.624929,127,443.504727
346.757726,126,444.714835
329.606364,124,445.895694
331.587763,123,447.067904
313.855171,123,448.239776
310.734333,118,449.366895
348.680434,127,450.590406
363.962511,131,451.841113
346.84498,126,453.045811
286.828471,121,454.198216
307.241041,128,455.424156
327.359724,126,456.630633
333.738302,127,457.83964
324.016686,125,459.029789
313.724981,124,460.223241
310.905988,131,461.482647
340.164318,129,462.710192
312.995968,127,463.918855
292.545042,128,465.142934
303.684684,132,466.406545
314.482526,132,467.660843
286.997518,129,468.895991
332.63952,134,470.18547
320.437701,135,471.486177
321.035959,130,472.7336
330.166088,131,473.981133
355.724015,135,475.263761
357.950779,137,476.567945
324.86708,139,477.897786
345.789955,133,479.16449
318.319977,152,480.617165
322.73136,140,481.954372
340.886463,138,483.264225
354.46842,135,484.544772
326.224724,135,485.834973
331.468092,136,487.173179
308.750165,125,488.366529
333.136206,164,489.936319
342.708119,134,491.835468
334.741278,137,493.136927
347.418409,133,494.402734
351.716481,135,495.687714
344.41878,133,496.960133
331.54203,136,498.257542
350.734844,137,499.564199
355.566423,136,500.868865
299.367983,124,502.046476
315.309773,126,503.241585
305.073311,126,504.437342
312.048429,129,505.664865
342.943042,133,506.9256
335.720221,131,508.168579
307.593287,132,509.426991
310.900809,129,510.661572
304.978847,126,511.865709
288.5001,125,513.05682
307.022226,128,514.275157
313.552683,131,515.524518
315.133479,141,516.86825
288.051559,126,518.071089
305.15261,132,519.325227
306.247265,130,520.585046
288.368807,129,521.848385
292.495288,125,523.042535
301.322195,124,524.221073
292.359858,129,525.456005
307.976969,125,526.648086
296.997932,135,527.934234
316.282132,142,529.291499
304.42905,135,530.600501
315.280662,130,531.847274
