#{"t_start": 1641322052.056341, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
410.0,3446,2032.302342
290.0,3355,2035.297812
255.0,2776,2037.685783
350.0,4040,2041.601776
350.0,3982,2045.412808
600.0,4404,2049.350528
105.0,1818,2051.317946
260.0,3116,2062.595753
260.0,2919,2065.203768
340.0,4578,2069.563392
275.0,2750,2072.483706
275.0,4018,2075.950473
420.0,3238,2078.874805
235.0,3356,2081.73038
305.0,3276,2084.615857
515.0,4796,2088.79011
695.0,3693,2092.125014
475.0,3254,2095.015837
665.0,4150,2107.191957
180.0,2178,2109.083469
260.0,3180,2111.863755
745.0,4084,2116.434027
270.0,3308,2119.572253
255.0,3058,2122.383464
240.0,3950,2126.526884
395.0,3114,2129.448283
270.0,3358,2132.462206
615.0,4622,2136.940989
285.0,2330,2139.246795
350.0,2772,2141.680888
350.0,3662,2145.281994
385.0,3418,2155.298215
640.0,3524,2159.220737
345.0,3402,2162.312893
770.0,6480,2168.512604
300.0,3118,2171.293747
415.0,3258,2174.136764
385.0,2596,2176.790041
390.0,2962,2179.533309
75.0,1550,2181.114769
170.0,2750,2184.571785
445.0,4292,2188.461281
185.0,2412,2190.846296
290.0,2584,2201.895926
335.0,3330,2205.3362
225.0,3270,2208.327522
360.0,3249,2211.24981
285.0,2538,2213.659645
495.0,4374,2218.182773
645.0,4128,2222.351785
325.0,2428,2224.883291
595.0,3102,2227.918986
390.0,3247,2230.992324
415.0,3948,2234.39273
335.0,2348,2236.466312
285.0,3000,2238.9732
420.0,3632,2252.915912
320.0,2726,2255.611337
460.0,3032,2259.787386
520.0,4220,2263.81179
595.0,3844,2267.797445
335.0,2984,2270.520164
515.0,3353,2273.669808
205.0,2414,2275.81024
585.0,3984,2279.361316
345.0,3684,2282.732746
355.0,3388,2285.984114
465.0,3117,2288.924332
195.0,2632,2300.982214
290.0,2920,2303.457822
200.0,3512,2306.53545
590.0,3320,2309.413326
500.0,4198,2313.036731
365.0,2858,2315.486843
625.0,3742,2318.684063
480.0,5282,2323.40215
230.0,3076,2326.070271
250.0,2856,2328.514549
365.0,3418,2331.701987
250.0,3058,2334.569791
305.0,3010,2347.442992
440.0,3270,2350.318825
